agent_id,agent_name,date,assigned_vip_count,avg_first_response_mins,target_sla_mins,sla_adherence_pct,client_satisfaction_score
AGT-108,James Wilson,2026-08-06,45,2.2,5.0,97.6,4.93
AGT-107,Rachel Kim,2026-08-06,55,2.9,5.0,95.9,4.86
AGT-108,James Wilson,2026-08-05,45,2.4,5.0,98.0,4.95
AGT-107,Rachel Kim,2026-08-05,55,3.1,5.0,96.3,4.88
AGT-108,James Wilson,2026-08-04,45,2.6,5.0,98.4,4.97
AGT-107,Rachel Kim,2026-08-04,55,3.3,5.0,96.7,4.9
AGT-108,James Wilson,2026-08-03,45,2.2,5.0,98.8,4.93
AGT-107,Rachel Kim,2026-08-03,55,2.9,5.0,97.1,4.86
AGT-108,James Wilson,2026-08-02,45,2.4,5.0,97.6,4.95
AGT-107,Rachel Kim,2026-08-02,55,3.1,5.0,95.9,4.88
AGT-108,James Wilson,2026-08-01,45,2.6,5.0,98.0,4.97
AGT-107,Rachel Kim,2026-08-01,55,3.3,5.0,96.3,4.9
AGT-108,James Wilson,2026-07-31,45,2.2,5.0,98.4,4.93
AGT-107,Rachel Kim,2026-07-31,55,2.9,5.0,96.7,4.86
AGT-108,James Wilson,2026-07-30,45,2.4,5.0,98.8,4.95
AGT-107,Rachel Kim,2026-07-30,55,3.1,5.0,97.1,4.88
AGT-108,James Wilson,2026-07-29,45,2.6,5.0,97.6,4.97
AGT-107,Rachel Kim,2026-07-29,55,3.3,5.0,95.9,4.9
AGT-108,James Wilson,2026-07-28,45,2.2,5.0,98.0,4.93
AGT-107,Rachel Kim,2026-07-28,55,2.9,5.0,96.3,4.86
AGT-108,James Wilson,2026-07-27,45,2.4,5.0,98.4,4.95
AGT-107,Rachel Kim,2026-07-27,55,3.1,5.0,96.7,4.88
AGT-108,James Wilson,2026-07-26,45,2.6,5.0,98.8,4.97
AGT-107,Rachel Kim,2026-07-26,55,3.3,5.0,97.1,4.9
AGT-108,James Wilson,2026-07-25,45,2.2,5.0,97.6,4.93
AGT-107,Rachel Kim,2026-07-25,55,2.9,5.0,95.9,4.86
AGT-108,James Wilson,2026-07-24,45,2.4,5.0,98.0,4.95
AGT-107,Rachel Kim,2026-07-24,55,3.1,5.0,96.3,4.88
AGT-108,James Wilson,2026-07-23,45,2.6,5.0,98.4,4.97
AGT-107,Rachel Kim,2026-07-23,55,3.3,5.0,96.7,4.9
AGT-108,James Wilson,2026-07-22,45,2.2,5.0,98.8,4.93
AGT-107,Rachel Kim,2026-07-22,55,2.9,5.0,97.1,4.86
AGT-108,James Wilson,2026-07-21,45,2.4,5.0,97.6,4.95
AGT-107,Rachel Kim,2026-07-21,55,3.1,5.0,95.9,4.88
AGT-108,James Wilson,2026-07-20,45,2.6,5.0,98.0,4.97
AGT-107,Rachel Kim,2026-07-20,55,3.3,5.0,96.3,4.9
AGT-108,James Wilson,2026-07-19,45,2.2,5.0,98.4,4.93
AGT-107,Rachel Kim,2026-07-19,55,2.9,5.0,96.7,4.86
AGT-108,James Wilson,2026-07-18,45,2.4,5.0,98.8,4.95
AGT-107,Rachel Kim,2026-07-18,55,3.1,5.0,97.1,4.88
AGT-108,James Wilson,2026-07-17,45,2.6,5.0,97.6,4.97
AGT-107,Rachel Kim,2026-07-17,55,3.3,5.0,95.9,4.9
AGT-108,James Wilson,2026-07-16,45,2.2,5.0,98.0,4.93
AGT-107,Rachel Kim,2026-07-16,55,2.9,5.0,96.3,4.86
AGT-108,James Wilson,2026-07-15,45,2.4,5.0,98.4,4.95
AGT-107,Rachel Kim,2026-07-15,55,3.1,5.0,96.7,4.88
AGT-108,James Wilson,2026-07-14,45,2.6,5.0,98.8,4.97
AGT-107,Rachel Kim,2026-07-14,55,3.3,5.0,97.1,4.9
AGT-108,James Wilson,2026-07-13,45,2.2,5.0,97.6,4.93
AGT-107,Rachel Kim,2026-07-13,55,2.9,5.0,95.9,4.86
AGT-108,James Wilson,2026-07-12,45,2.4,5.0,98.0,4.95
AGT-107,Rachel Kim,2026-07-12,55,3.1,5.0,96.3,4.88
AGT-108,James Wilson,2026-07-11,45,2.6,5.0,98.4,4.97
AGT-107,Rachel Kim,2026-07-11,55,3.3,5.0,96.7,4.9
AGT-108,James Wilson,2026-07-10,45,2.2,5.0,98.8,4.93
AGT-107,Rachel Kim,2026-07-10,55,2.9,5.0,97.1,4.86
AGT-108,James Wilson,2026-07-09,45,2.4,5.0,97.6,4.95
AGT-107,Rachel Kim,2026-07-09,55,3.1,5.0,95.9,4.88
AGT-108,James Wilson,2026-07-08,45,2.6,5.0,98.0,4.97
AGT-107,Rachel Kim,2026-07-08,55,3.3,5.0,96.3,4.9
